segment_nr,representation_nr,start_time_msec,end_time_msec,delta_time_msec
1,1,1005,1524,519
2,1,1525,1800,275
3,1,1800,2107,306
4,1,2108,2397,288
5,1,2397,2876,478
6,1,2877,3539,661
7,1,3539,4555,1016
8,1,4556,5549,992
9,1,5549,6021,472
10,1,6021,6431,409
11,1,6431,7014,582
12,1,7025,7482,457
13,1,7483,8213,730
14,2,8213,9166,952
15,2,9169,10269,1100
16,3,10270,12287,2017
17,3,12287,13994,1706
18,4,13994,16575,2580
19,4,16585,18689,2104
20,4,18689,20474,1785
21,4,20475,21957,1481
22,5,21957,24773,2816
23,4,24774,26554,1780
24,4,26554,28574,2019
25,4,28575,33114,4539
26,4,33126,36277,3151
27,3,36288,38094,1806
28,3,38095,42379,4284
29,1,42379,43407,1028
30,1,43418,44220,802
31,1,44221,45357,1136
32,1,45357,46746,1388
33,1,46758,48319,1561
34,2,48319,51283,2963
35,1,51283,53013,1730
36,2,53014,54125,1111
37,2,54128,55643,1514
38,2,55654,59000,3346
39,2,59000,62955,3954
40,2,62965,67012,4047
41,1,67023,68179,1155
42,1,68180,69083,902
43,2,69083,69917,833
44,2,69918,71137,1218
45,2,71144,72288,1144
46,2,72289,73594,1304
47,3,73598,74500,902
48,3,74511,75588,1077
49,4,75588,77125,1537
50,4,77126,78274,1148
51,5,78274,80438,2163
52,5,80438,82052,1613
53,6,82062,83919,1856
54,6,83919,85632,1713
55,6,85633,87118,1485
56,6,87119,88504,1385
57,6,88505,90498,1993
58,6,90498,92233,1734
59,6,92233,94410,2177
60,6,94410,98463,4053
61,6,98464,100973,2509
62,6,100974,102592,1617
63,6,102592,103493,901
64,6,103494,105120,1626
65,6,105120,106169,1048
66,6,106179,107337,1158
67,6,107344,108596,1251
68,6,108602,110168,1566
69,6,110169,111547,1378
70,6,111547,113281,1734
71,6,113281,114755,1473
72,6,114755,116802,2046
73,6,116802,117941,1138
74,6,117952,119567,1615
75,6,119567,121742,2174
76,6,121742,126965,5222
77,6,126965,131157,4192
78,6,131157,133607,2449
79,6,133607,134959,1351
80,6,134959,136972,2012
81,6,136972,143167,6195
82,5,143168,147048,3879
83,5,147048,150328,3280
84,5,150339,151520,1181
85,5,151521,154128,2607
86,5,154128,154843,714
87,6,154843,156151,1307
88,6,156152,158031,1878
89,6,158038,163411,5373
90,5,163423,165421,1998
91,5,165421,170213,4792
92,5,170214,179588,9373
93,2,179588,183128,3539
94,1,183139,186234,3094
95,1,186244,187691,1446
96,1,187691,188225,534
97,1,188236,190777,2541
98,1,190788,193018,2229
99,1,193018,194333,1314
100,1,194345,195444,1099
101,1,195445,196751,1306
102,1,196761,197550,788
103,1,197551,198525,974
104,1,198525,200068,1542
105,1,200078,202337,2258
106,1,202337,205321,2983
107,1,205332,208345,3012
108,1,208345,209453,1107
109,1,209453,210447,994
110,1,210448,211326,877
111,1,211337,211892,555
112,1,211892,212335,442
113,1,212336,212923,587
114,1,212933,214862,1928
115,1,214862,215342,479
116,2,215342,215758,415
117,2,215759,216317,558
118,3,216318,216786,468
119,4,216786,217433,646
120,4,217444,217976,532
121,5,217977,219099,1122
122,5,219100,224232,5132
123,6,224232,227813,3580
124,6,227813,230421,2608
125,6,230422,232478,2056
126,6,232479,233450,971
127,6,233452,235229,1777
128,6,235230,236676,1446
129,6,236676,237696,1019
130,6,237696,240245,2548
131,6,240245,241887,1641
132,6,241887,242983,1095
133,6,242983,243984,1001
134,6,243984,245213,1228
135,6,245213,246371,1158
136,6,246372,249629,3257
137,6,249629,252971,3341
138,6,252971,254933,1962
139,6,254934,257249,2314
140,6,257249,263544,6295
141,5,263544,265816,2271
142,6,265821,268213,2391
143,6,268213,270402,2189
144,6,270402,271979,1576
145,6,271979,273951,1972
146,6,273952,276032,2079
147,5,276032,281818,5785
148,4,281818,284540,2722
149,4,284540,287747,3206
150,5,287747,287792,44
