time_msec,throughput,current_buffer,current_playing_segment
373,74.8271,0,0
476,789.437,0,0
585,860.444,0,0
700,815.158,0,0
806,767.094,0,0
918,837.189,0,0
1150,69.1111,0,0
1264,822.372,0,0
1365,696.96,0,0
1482,992.821,0,0
1644,278.857,2,1
1762,694.974,2,1
1913,296.286,4,1
2028,611.368,4,1
2224,286.069,5.891,1
2333,752.889,5.781,1
2510,400,7.601,1
2624,513.982,7.491,1
2728,446.769,7.381,1
2833,446.769,7.281,1
2995,281.22,9.121,1
3099,446.769,9.011,1
3206,438.34,8.91,1
3308,460.04,8.801,1
3413,446.769,8.701,1
3518,446.769,8.592,1
3656,283.624,10.461,1
3787,357.415,10.33,1
3903,300.414,10.211,1
4019,300.414,10.09,1
4137,297.846,9.981,2
4254,300.414,9.871,2
4370,300.414,9.749,2
4486,300.414,9.64,2
4673,184.342,11.45,2
4790,300.414,11.33,2
4894,446.769,11.231,2
4998,335.077,11.121,2
5101,341.647,11.02,2
5205,338.33,10.919,2
5309,335.077,10.81,2
5412,341.647,10.71,2
5515,338.33,10.61,2
5656,201.57,12.47,2
5761,335.077,12.36,2
5863,341.647,12.261,2
5972,430.222,12.15,2
6123,213.545,14,3
6248,374.71,13.881,3
6373,374.71,13.761,3
6535,209.398,15.601,3
6660,371.712,15.472,3
6782,384,15.351,3
6906,377.756,15.231,3
7014,379.852,15.121,3
7126,213.545,17.011,3
7236,528,16.901,3
7349,414.857,16.782,3
7461,414.857,16.671,3
7607,267.613,18.522,3
7719,418.595,18.411,3
7831,418.595,18.302,3
7944,411.186,18.191,3
8057,414.857,18.081,3
8169,414.857,17.98,4
8330,283.624,19.82,4
8437,438.34,19.721,4
8538,460.04,19.61,4
8641,451.107,19.51,4
8744,455.529,19.41,4
8849,442.514,19.3,4
8950,460.04,19.2,4
9053,451.107,19.1,4
9158,446.769,18.99,4
9284,187.548,20.87,4
9385,464.64,20.769,4
9501,606.052,20.65,4
9620,488.067,20.531,4
9742,480,20.41,4
9852,528,20.3,4
9957,446.769,20.191,4
10072,509.474,20.08,4
10207,433.433,19.96,5
10389,181.109,21.771,5
10511,480,21.651,5
10618,651.364,21.541,5
10732,513.982,21.43,5
10843,528,21.321,5
10951,537.778,21.211,5
11063,523.243,21.1,5
11175,518.571,20.99,5
11287,518.571,20.871,5
11409,576,20.751,5
11521,518.571,20.641,5
11635,513.982,20.53,5
11739,676.66,20.42,5
11840,575.05,20.321,5
11943,569.412,20.22,5
12052,639.413,20.111,5
12156,563.883,20.011,5
12260,563.883,19.92,6
12388,331.68,21.79,6
12490,569.412,21.69,6
12594,563.883,21.59,6
12697,563.883,21.48,6
12800,676.66,21.38,6
12913,622.286,21.27,6
13030,600.828,21.15,6
13146,600.828,21.04,6
13262,600.828,20.92,6
13378,600.828,20.8,6
13494,606.052,20.689,6
13609,606.052,20.57,6
13725,600.828,20.461,6
13841,606.052,20.34,6
13953,726,20.231,6
14106,403.459,22.08,6
14215,639.413,21.991,7
14325,633.6,21.881,7
14434,639.413,21.771,7
14542,645.333,21.661,7
14652,639.413,21.552,7
14761,639.413,21.441,7
14870,645.333,21.331,7
14980,633.6,21.22,7
15085,781.846,21.122,7
15188,676.66,21.011,7
15291,683.294,20.91,7
15394,683.294,20.811,7
15496,683.294,20.71,7
15599,676.66,20.601,7
15703,676.66,20.5,7
15807,670.154,20.39,7
15910,683.294,20.291,7
16012,683.294,20.19,7
16116,676.66,20.091,7
16233,801.103,19.981,8
16346,726,19.871,8
16460,713.263,19.751,8
16573,726,19.641,8
16691,426.514,21.52,8
16805,713.263,21.411,8
16918,726,21.291,8
17032,719.575,21.181,8
17146,713.263,21.071,8
17260,713.263,20.951,8
17370,844.8,20.841,8
17478,759.925,20.731,8
17586,752.889,20.631,8
17693,759.925,20.521,8
17802,752.889,20.411,8
17909,759.925,20.302,8
18018,752.889,20.191,8
18126,752.889,20.091,8
