segment_nr,representation_nr,bitrate,start_time_msec,end_time_msec,delta_time_msec
1,1,120667,2108,4108,2000
2,1,120667,4117,6118,2001
3,1,120667,6128,8137,2009
4,1,120667,8147,10148,2000
5,1,120667,10157,12167,2009
6,1,120667,12177,14187,2009
7,1,120667,14197,16198,2000
8,1,120667,16208,18208,2000
9,1,120667,18217,20227,2010
10,1,120667,20237,22247,2009
11,1,120667,22257,24267,2010
12,1,120667,24277,26277,2000
13,1,120667,26287,28288,2000
14,2,192587,28297,30307,2010
15,2,192587,30317,32317,2000
16,3,320727,32327,34327,2000
17,3,320727,34337,36338,2000
18,4,556115,36347,38347,2000
19,4,556115,38357,40367,2009
20,4,556115,40377,42388,2010
21,4,556115,42397,44397,2000
22,5,959970,44407,46407,2000
23,4,556115,46417,48418,2000
24,4,556115,48428,50437,2009
25,4,556115,50447,52447,2000
26,4,556115,52458,54468,2010
27,3,320727,54477,56478,2000
28,3,320727,56487,58488,2000
29,1,120667,58497,60508,2010
30,1,120667,60517,62518,2001
31,1,120667,62527,64537,2009
32,1,120667,64548,66557,2009
33,1,120667,66568,68577,2009
34,2,192587,68587,70588,2000
35,1,120667,70597,72598,2000
36,2,192587,72607,74607,2000
37,2,192587,74617,76618,2000
38,2,192587,76627,78627,2000
39,2,192587,78637,80647,2010
40,2,192587,80657,82667,2009
41,1,120667,82678,84688,2009
42,1,120667,84697,86697,2000
43,2,192587,86707,88707,2000
44,2,192587,88718,90728,2010
45,2,192587,90737,92747,2010
46,2,192587,92757,94767,2010
47,3,320727,94777,96777,2000
48,3,320727,96786,98787,2001
49,4,556115,98797,100797,2000
50,4,556115,100808,102817,2008
51,5,959970,102827,104837,2009
52,5,959970,104847,106847,2000
53,6,1636587,106857,108867,2009
54,6,1636587,108878,110887,2009
55,6,1636587,110897,112908,2010
56,6,1636587,112917,114927,2009
57,6,1636587,114937,116947,2009
58,6,1636587,116957,118967,2010
59,6,1636587,118977,120977,2000
60,6,1636587,120988,122998,2010
61,6,1636587,123007,125008,2000
62,6,1636587,125017,127027,2009
63,6,1636587,127037,129047,2009
64,6,1636587,129058,131067,2009
65,6,1636587,131077,133078,2000
66,6,1636587,133087,135087,2000
67,6,1636587,135097,137097,2000
68,6,1636587,137108,139118,2010
69,6,1636587,139127,141127,2000
70,6,1636587,141137,143147,2009
71,6,1636587,143157,145167,2010
72,6,1636587,145177,147177,2000
73,6,1636587,147187,149187,2000
74,6,1636587,149197,151197,2000
75,6,1636587,151207,153217,2010
76,6,1636587,153228,155237,2008
77,6,1636587,155247,157247,2000
78,6,1636587,157257,159258,2000
79,6,1636587,159267,161268,2000
80,6,1636587,161277,163277,2000
81,6,1636587,163287,165297,2009
82,5,959970,165308,167317,2009
83,5,959970,167327,169328,2001
84,5,959970,169337,171337,2000
85,5,959970,171347,173347,2000
86,5,959970,173357,175358,2000
87,6,1636587,175367,177377,2010
88,6,1636587,177387,179398,2010
89,6,1636587,179408,181418,2010
90,5,959970,181428,183437,2009
91,5,959970,183447,185457,2009
92,5,959970,185467,187477,2009
93,2,192587,187487,189487,2000
94,1,120667,189497,191497,2000
95,1,120667,191507,193517,2010
96,1,120667,193527,195527,2000
97,1,120667,195537,197537,2000
98,1,120667,197547,199547,2000
99,1,120667,199558,201558,2000
100,1,120667,201568,203578,2010
101,1,120667,203587,205597,2009
102,1,120667,205607,207617,2010
103,1,120667,207628,209628,2000
104,1,120667,209637,211637,2000
105,1,120667,211647,213648,2000
106,1,120667,213658,215667,2009
107,1,120667,215677,217687,2010
108,1,120667,217698,219707,2009
109,1,120667,219717,221717,2000
110,1,120667,221727,223738,2010
111,1,120667,223747,225757,2010
112,1,120667,225767,227777,2009
113,1,120667,227787,229797,2009
114,1,120667,229807,231807,2000
115,1,120667,231817,233827,2009
116,2,192587,233837,235837,2000
117,2,192587,235847,237847,2000
118,3,320727,237857,239857,2000
119,4,556115,239868,241877,2008
120,4,556115,241887,243897,2009
121,5,959970,243907,245907,2000
122,5,959970,245917,247917,2000
123,6,1636587,247927,249927,2000
124,6,1636587,249937,251947,2010
125,6,1636587,251957,253958,2000
126,6,1636587,253967,255967,2000
127,6,1636587,255977,257977,2000
128,6,1636587,257987,259987,2000
129,6,1636587,259997,261997,2000
130,6,1636587,262007,264007,2000
131,6,1636587,264017,266017,2000
132,6,1636587,266027,268028,2000
133,6,1636587,268037,270048,2010
134,6,1636587,270058,272058,2000
135,6,1636587,272067,274078,2010
136,6,1636587,274087,276087,2000
137,6,1636587,276097,278098,2000
138,6,1636587,278107,280107,2000
139,6,1636587,280118,282127,2008
140,6,1636587,282137,284138,2000
141,5,959970,284147,286157,2009
142,6,1636587,286168,288168,2000
143,6,1636587,288177,290187,2010
144,6,1636587,290197,292199,2001
145,6,1636587,292208,294217,2009
146,6,1636587,294227,296227,2000
147,5,959970,296239,298247,2008
148,4,556115,298259,300267,2008
149,4,556115,300278,302287,2008
